rule,params,judge_weight,J,F,J_std,F_std,n_seasons,base_weight,delta,log_strength,Balance
Dynamic,"b=48%,δ=0.015",,0.5766947034834067,0.5874999999999999,0.5333315950880979,0.46080771477916904,32,0.47500000000000003,0.015,0.0,0.5820472073815903
Dynamic,"b=48%,δ=0.02",,0.6321456374106621,0.5375,0.49907707933180384,0.48072211307573526,32,0.47500000000000003,0.02,0.0,0.5809935401801325
Dynamic,"b=48%,δ=0.025",,0.7418112451136623,0.428125,0.36433829391431216,0.5816111109452776,32,0.47500000000000003,0.025,0.0,0.5429149500569148
Dynamic,"b=48%,δ=0.03",,0.7612374020310305,0.390625,0.3548310085796223,0.5991448984803258,32,0.47500000000000003,0.03,0.0,0.5163088219320248
Dynamic,"b=50%,δ=0.01",,0.5513193711139945,0.6187499999999999,0.5276655244687039,0.4523808544799393,32,0.5,0.01,0.0,0.5830916850006214
Dynamic,"b=50%,δ=0.015",,0.606807558951978,0.5562499999999999,0.5331234607578602,0.4788903188622631,32,0.5,0.015,0.0,0.5804299224553847
Dynamic,"b=50%,δ=0.02",,0.7293112451136623,0.440625,0.36895992131969196,0.5765519138594546,32,0.5,0.02,0.0,0.5493509042833555
Dynamic,"b=50%,δ=0.025",,0.7418112451136623,0.428125,0.36433829391431216,0.5816111109452776,32,0.5,0.025,0.0,0.5429149500569148
Dynamic,"b=50%,δ=0.03",,0.777268313782361,0.37187499999999996,0.35134789405791367,0.5969895178099863,32,0.5,0.03,0.0,0.5030645881494054
Dynamic,"b=52%,δ=0.01",,0.5766947034834067,0.5874999999999999,0.5333315950880979,0.46080771477916904,32,0.525,0.01,0.0,0.5820472073815903
Dynamic,"b=52%,δ=0.015",,0.6321456374106621,0.5375,0.49907707933180384,0.48072211307573526,32,0.525,0.015,0.0,0.5809935401801325
Dynamic,"b=52%,δ=0.02",,0.7418112451136623,0.428125,0.36433829391431216,0.5816111109452776,32,0.525,0.02,0.0,0.5429149500569148
Dynamic,"b=52%,δ=0.025",,0.7612374020310305,0.390625,0.3548310085796223,0.5991448984803258,32,0.525,0.025,0.0,0.5163088219320248
Dynamic,"b=52%,δ=0.03",,0.8043316076506248,0.34062499999999996,0.32261360666154065,0.6153552708598505,32,0.525,0.03,0.0,0.4785778810934758
Dynamic,"b=55%,δ=0.01",,0.606807558951978,0.5562499999999999,0.5331234607578602,0.4788903188622631,32,0.55,0.01,0.0,0.5804299224553847
Dynamic,"b=55%,δ=0.015",,0.7293112451136623,0.440625,0.36895992131969196,0.5765519138594546,32,0.55,0.015,0.0,0.5493509042833555
Dynamic,"b=55%,δ=0.02",,0.7418112451136623,0.428125,0.36433829391431216,0.5816111109452776,32,0.55,0.02,0.0,0.5429149500569148
Dynamic,"b=55%,δ=0.025",,0.8043316076506248,0.34062499999999996,0.32261360666154065,0.6153552708598505,32,0.55,0.025,0.0,0.4785778810934758
Dynamic,"b=55%,δ=0.03",,0.8742648822560193,0.284375,0.18273253353402508,0.6047258547267513,32,0.55,0.03,0.0,0.4291567716327597
Dynamic+Log,"b=40%,δ=0.01,α=0.1",,0.4731204190533266,0.6875,0.5986028570582614,0.4477373672143079,32,0.4,0.01,0.1,0.5605110550858945
Dynamic+Log,"b=40%,δ=0.01,α=0.15",,0.49187041905332657,0.6749999999999999,0.5864996182980972,0.4609772228646443,32,0.4,0.01,0.15,0.569064957265473
Dynamic+Log,"b=40%,δ=0.01,α=0.2",,0.49187041905332657,0.6749999999999999,0.5864996182980972,0.4609772228646443,32,0.4,0.01,0.2,0.569064957265473
Dynamic+Log,"b=40%,δ=0.01,α=0.25",,0.4950766014035927,0.6718749999999999,0.5843589349732056,0.4590985562763185,32,0.4,0.01,0.25,0.5700829252608509
Dynamic+Log,"b=40%,δ=0.01,α=0.3",,0.4950766014035927,0.6718749999999999,0.5843589349732056,0.4590985562763185,32,0.4,0.01,0.3,0.5700829252608509
Dynamic+Log,"b=40%,δ=0.015,α=0.1",,0.4950766014035927,0.6718749999999999,0.5843589349732056,0.4590985562763185,32,0.4,0.015,0.1,0.5700829252608509
Dynamic+Log,"b=40%,δ=0.015,α=0.15",,0.4950766014035927,0.6718749999999999,0.5843589349732056,0.4590985562763185,32,0.4,0.015,0.15,0.5700829252608509
Dynamic+Log,"b=40%,δ=0.015,α=0.2",,0.5351872534259683,0.6375,0.5187326464073096,0.4553501400021746,32,0.4,0.015,0.2,0.5818804165754554
Dynamic+Log,"b=40%,δ=0.015,α=0.25",,0.5513193711139945,0.6187499999999999,0.5276655244687039,0.4523808544799393,32,0.4,0.015,0.25,0.5830916850006214
Dynamic+Log,"b=40%,δ=0.015,α=0.3",,0.5513193711139945,0.6187499999999999,0.5276655244687039,0.4523808544799393,32,0.4,0.015,0.3,0.5830916850006214
Dynamic+Log,"b=40%,δ=0.02,α=0.1",,0.5766947034834067,0.5874999999999999,0.5333315950880979,0.46080771477916904,32,0.4,0.02,0.1,0.5820472073815903
Dynamic+Log,"b=40%,δ=0.02,α=0.15",,0.5766947034834067,0.5874999999999999,0.5333315950880979,0.46080771477916904,32,0.4,0.02,0.15,0.5820472073815903
Dynamic+Log,"b=40%,δ=0.02,α=0.2",,0.5766947034834067,0.5874999999999999,0.5333315950880979,0.46080771477916904,32,0.4,0.02,0.2,0.5820472073815903
Dynamic+Log,"b=40%,δ=0.02,α=0.25",,0.5766947034834067,0.5874999999999999,0.5333315950880979,0.46080771477916904,32,0.4,0.02,0.25,0.5820472073815903
Dynamic+Log,"b=40%,δ=0.02,α=0.3",,0.606807558951978,0.5562499999999999,0.5331234607578602,0.4788903188622631,32,0.4,0.02,0.3,0.5804299224553847
Dynamic+Log,"b=40%,δ=0.025,α=0.1",,0.625557558951978,0.54375,0.507310337416594,0.47758343511893286,32,0.4,0.025,0.1,0.5817920525445117
Dynamic+Log,"b=40%,δ=0.025,α=0.15",,0.625557558951978,0.54375,0.507310337416594,0.47758343511893286,32,0.4,0.025,0.15,0.5817920525445117
Dynamic+Log,"b=40%,δ=0.025,α=0.2",,0.6321456374106621,0.5375,0.49907707933180384,0.48072211307573526,32,0.4,0.025,0.2,0.5809935401801325
Dynamic+Log,"b=40%,δ=0.025,α=0.25",,0.6592089312789258,0.521875,0.4366830921089027,0.47350711121903966,32,0.4,0.025,0.25,0.582557516208669
Dynamic+Log,"b=40%,δ=0.025,α=0.3",,0.7194291274256361,0.453125,0.3671825791088972,0.553389767139762,32,0.4,0.025,0.3,0.5560362894332955
Dynamic+Log,"b=43%,δ=0.01,α=0.1",,0.49187041905332657,0.6749999999999999,0.5864996182980972,0.4609772228646443,32,0.42500000000000004,0.01,0.1,0.569064957265473
Dynamic+Log,"b=43%,δ=0.01,α=0.15",,0.4950766014035927,0.6718749999999999,0.5843589349732056,0.4590985562763185,32,0.42500000000000004,0.01,0.15,0.5700829252608509
Dynamic+Log,"b=43%,δ=0.01,α=0.2",,0.4950766014035927,0.6718749999999999,0.5843589349732056,0.4590985562763185,32,0.42500000000000004,0.01,0.2,0.5700829252608509
Dynamic+Log,"b=43%,δ=0.01,α=0.25",,0.511546797550303,0.6593749999999999,0.5592345682078339,0.46088188223773774,32,0.42500000000000004,0.01,0.25,0.5761292855805357
Dynamic+Log,"b=43%,δ=0.01,α=0.3",,0.5351872534259683,0.6375,0.5187326464073096,0.4553501400021746,32,0.42500000000000004,0.01,0.3,0.5818804165754554
Dynamic+Log,"b=43%,δ=0.015,α=0.1",,0.5450693711139944,0.63125,0.523481934121663,0.45168953662886635,32,0.42500000000000004,0.015,0.1,0.5850027614479606
Dynamic+Log,"b=43%,δ=0.015,α=0.15",,0.5513193711139945,0.6187499999999999,0.5276655244687039,0.4523808544799393,32,0.42500000000000004,0.015,0.15,0.5830916850006214
Dynamic+Log,"b=43%,δ=0.015,α=0.2",,0.5717536446393936,0.6,0.5325473918065251,0.447213595499958,32,0.42500000000000004,0.015,0.2,0.5855363677515029
Dynamic+Log,"b=43%,δ=0.015,α=0.25",,0.5766947034834067,0.5874999999999999,0.5333315950880979,0.46080771477916904,32,0.42500000000000004,0.015,0.25,0.5820472073815903
Dynamic+Log,"b=43%,δ=0.015,α=0.3",,0.5766947034834067,0.5874999999999999,0.5333315950880979,0.46080771477916904,32,0.42500000000000004,0.015,0.3,0.5820472073815903
Dynamic+Log,"b=43%,δ=0.02,α=0.1",,0.5766947034834067,0.5874999999999999,0.5333315950880979,0.46080771477916904,32,0.42500000000000004,0.02,0.1,0.5820472073815903
Dynamic+Log,"b=43%,δ=0.02,α=0.15",,0.606807558951978,0.5562499999999999,0.5331234607578602,0.4788903188622631,32,0.42500000000000004,0.02,0.15,0.5804299224553847
Dynamic+Log,"b=43%,δ=0.02,α=0.2",,0.625557558951978,0.54375,0.507310337416594,0.47758343511893286,32,0.42500000000000004,0.02,0.2,0.5817920525445117
Dynamic+Log,"b=43%,δ=0.02,α=0.25",,0.625557558951978,0.54375,0.507310337416594,0.47758343511893286,32,0.42500000000000004,0.02,0.25,0.5817920525445117
Dynamic+Log,"b=43%,δ=0.02,α=0.3",,0.6321456374106621,0.5375,0.49907707933180384,0.48072211307573526,32,0.42500000000000004,0.02,0.3,0.5809935401801325
Dynamic+Log,"b=43%,δ=0.025,α=0.1",,0.6592089312789258,0.521875,0.4366830921089027,0.47350711121903966,32,0.42500000000000004,0.025,0.1,0.582557516208669
Dynamic+Log,"b=43%,δ=0.025,α=0.15",,0.6881791274256361,0.484375,0.4228602657677401,0.526254082525732,32,0.42500000000000004,0.025,0.15,0.5685652487435386
Dynamic+Log,"b=43%,δ=0.025,α=0.2",,0.7418112451136623,0.428125,0.36433829391431216,0.5816111109452776,32,0.42500000000000004,0.025,0.2,0.5429149500569148
Dynamic+Log,"b=43%,δ=0.025,α=0.25",,0.7418112451136623,0.428125,0.36433829391431216,0.5816111109452776,32,0.42500000000000004,0.025,0.25,0.5429149500569148
Dynamic+Log,"b=43%,δ=0.025,α=0.3",,0.7418112451136623,0.428125,0.36433829391431216,0.5816111109452776,32,0.42500000000000004,0.025,0.3,0.5429149500569148
Dynamic+Log,"b=45%,δ=0.01,α=0.1",,0.4950766014035927,0.6718749999999999,0.5843589349732056,0.4590985562763185,32,0.45,0.01,0.1,0.5700829252608509
Dynamic+Log,"b=45%,δ=0.01,α=0.15",,0.511546797550303,0.6593749999999999,0.5592345682078339,0.46088188223773774,32,0.45,0.01,0.15,0.5761292855805357
Dynamic+Log,"b=45%,δ=0.01,α=0.2",,0.5450693711139944,0.63125,0.523481934121663,0.45168953662886635,32,0.45,0.01,0.2,0.5850027614479606
Dynamic+Log,"b=45%,δ=0.01,α=0.25",,0.5513193711139945,0.6187499999999999,0.5276655244687039,0.4523808544799393,32,0.45,0.01,0.25,0.5830916850006214
